DateTime	vib
2020/10/6 06:00	0.03
2020/10/6 06:00	0.03
2020/10/6 06:00	0.03
2020/10/6 06:00	0.072
2020/10/6 06:00	0.231
2020/10/6 06:00	0.03
2020/10/6 06:00	0.03
2020/10/6 06:00	0.03
2020/10/6 06:00	0.03
2020/10/6 06:00	0.03
2020/10/6 06:00	0.03
2020/10/6 06:00	4.4
2020/10/6 06:00	4.4
2020/10/6 06:01	0.64
2020/10/6 06:01	0.335
2020/10/6 06:01	0.054
2020/10/6 06:01	0.03
2020/10/6 06:01	0.518
2020/10/6 06:01	0.042
2020/10/6 06:01	0.03
2020/10/6 06:01	0.091
2020/10/6 06:01	0.03
2020/10/6 06:01	0.03
2020/10/6 06:01	0.03
2020/10/6 06:01	0.03
2020/10/6 06:01	0.03
2020/10/6 06:01	0.03
2020/10/6 06:01	0.03
2020/10/6 06:01	0.03
2020/10/6 06:01	0.03
2020/10/6 06:01	0.03
2020/10/6 06:01	0.03
2020/10/6 06:01	0.03
2020/10/6 06:01	0.03
2020/10/6 06:01	0.03
2020/10/6 06:01	0.03
2020/10/6 06:01	0.03
2020/10/6 06:01	0.03
2020/10/6 06:01	0.03
2020/10/6 06:01	0.03
2020/10/6 06:01	0.03
2020/10/6 06:01	0.03
2020/10/6 06:01	0.03
2020/10/6 06:01	0.03
2020/10/6 06:01	0.03
2020/10/6 06:02	0.03
2020/10/6 06:02	0.103
2020/10/6 06:02	0.036
2020/10/6 06:02	0.335
2020/10/6 06:02	0.03
2020/10/6 06:02	0.03
2020/10/6 06:02	0.03
2020/10/6 06:02	0.927
2020/10/6 06:04	0.732
2020/10/6 06:04	0.103
2020/10/6 06:04	0.109
2020/10/6 06:04	0.03
2020/10/6 06:04	0.03
2020/10/6 06:04	2.679
2020/10/6 06:04	0.622
2020/10/6 06:04	0.359
2020/10/6 06:04	0.139
2020/10/6 06:04	0.139
2020/10/6 06:04	0.231
2020/10/6 06:05	0.213
2020/10/6 06:05	0.31
2020/10/6 06:05	0.133
2020/10/6 06:05	0.127
2020/10/6 06:05	0.115
2020/10/6 06:05	0.658
2020/10/6 06:05	0.658
2020/10/6 06:06	0.463
2020/10/6 06:06	0.03
2020/10/6 06:06	0.03
2020/10/6 06:06	0.03
2020/10/6 06:06	0.036
2020/10/6 06:07	0.03
2020/10/6 06:07	0.03
2020/10/6 06:07	0.03
2020/10/6 06:07	0.03
2020/10/6 06:07	0.03
2020/10/6 06:07	0.378
2020/10/6 06:07	0.048
2020/10/6 06:07	0.03
2020/10/6 06:07	0.03
2020/10/6 06:07	0.03
2020/10/6 06:07	0.658
2020/10/6 06:08	0.835
2020/10/6 06:08	0.469
2020/10/6 06:08	0.469
2020/10/6 06:08	0.146
2020/10/6 06:08	0.03
2020/10/6 06:08	0.03
2020/10/6 06:08	0.03
2020/10/6 06:08	0.03
2020/10/6 06:08	0.03
