"""x"""
0.042
0.036
0.03
0.066
0.066
0.121
0.298
0.078
0.439
0.811
0.329
0.445
0.725
0.414
0.329
0.255
0.097
0.03
0.03
0.03
0.03
0.054
0.03
0.42
0.03
0.03
0.03
1.037
0.457
0.28
0.5
0.03
0.255
0.255
0.31
1.299
0.365
0.725
0.237
0.64
0.274
0.03
0.066
0.31
0.03
0.127
0.127
0.176
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.133
0.097
1.018
0.072
0.03
0.03
0.048
0.03
0.542
1.806
0.89
0.445
0.109
0.365
0.146
0.555
0.078
0.115
0.115
0.365
0.078
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.042
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.091
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.139
0.103
0.115
0.115
0.042
0.03
0.03
0.03
0.03
0.115
0.03
0.066
0.03
0.03
0.023
0.03
0.03
0.03
0.03
0.03
0.03
0.023
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.023
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.06
0.06
0.03
0.03
0.03
0.03
0.085
0.359
0.493
0.457
0.091
0.609
0.268
0.03
0.03
0.03
0.066
0.146
0.28
0.616
0.109
0.085
0.078
0.201
0.03
0.03
0.03
0.097
0.097
0.036
0.03
0.03
0.03
0.072
0.03
0.194
0.201
0.109
0.078
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.036
0.03
0.03
0.03
0.03
0.023
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.023
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.023
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.182
0.213
0.158
0.139
0.139
0.042
0.054
0.164
0.506
0.231
1.141
0.493
0.255
0.304
0.237
0.316
0.493
0.353
0.53
0.426
0.371
0.371
0.512
0.298
0.323
0.152
0.182
0.164
0.17
0.139
0.158
0.176
0.249
0.426
0.426
0.182
0.127
0.152
0.848
0.64
1.983
0.811
1.134
0.365
0.249
0.182
0.036
0.054
0.188
0.03
0.03
0.03
0.03
0.115
0.03
0.03
0.048
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.213
0.213
0.03
0.03
0.03
0.03
1.092
1.452
0.536
0.139
0.371
0.255
0.091
0.091
0.03
0.03
0.182
0.176
0.158
0.115
0.152
0.231
0.115
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.237
0.066
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.072
0.03
0.03
0.03
1.684
1.684
1.299
0.298
0.103
0.03
0.03
0.237
0.152
0.066
0.194
0.567
0.841
0.432
0.03
0.03
0.036
0.03
3.222
0.573
0.396
0.262
0.237
0.28
0.237
0.146
0.085
0.225
0.225
0.28
0.109
0.133
0.152
0.121
0.127
0.133
0.188
0.139
0.17
0.182
0.182
0.188
0.188
0.225
0.225
2.099
0.213
0.231
0.213
0.182
0.524
0.707
0.823
0.463
0.463
0.103
0.06
0.457
0.347
0.213
0.31
0.17
0.103
0.146
0.03
0.072
0.042
0.042
0.072
0.249
0.03
0.42
0.725
0.268
0.03
0.03
0.103
0.127
0.146
0.164
0.164
0.054
0.03
0.03
0.03
0.03
0.03
0.188
0.03
0.097
0.03
0.03
0.03
0.03
0.03
0.469
2.361
1.678
1.678
0.982
0.371
0.243
0.469
0.384
0.225
0.127
0.06
0.286
0.201
0.329
0.378
0.378
0.292
0.225
0.03
0.091
0.103
0.097
0.03
0.03
0.03
0.03
0.042
0.03
0.03
0.03
0.03
0.115
0.701
0.445
0.201
0.085
1.562
0.768
0.786
0.127
0.127
0.078
0.03
0.158
0.359
0.249
0.115
0.078
0.701
0.384
0.03
0.176
0.072
0.072
0.03
0.03
0.03
0.042
0.078
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.023
0.023
0.023
0.03
0.03
0.03
0.03
0.03
0.03
0.03
1.604
0.5
0.207
0.207
0.133
0.127
0.243
0.249
0.213
0.213
0.316
0.182
0.249
0.243
0.188
0.164
0.164
0.249
0.201
0.152
0.213
0.176
0.176
0.188
0.176
0.17
0.188
0.176
0.201
0.17
0.188
0.219
0.182
0.225
0.652
0.652
0.207
1.33
0.115
0.194
0.921
1.354
1.354
0.75
0.353
0.03
0.03
0.078
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.188
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.085
0.03
0.03
0.066
0.481
2.795
1.275
0.469
0.469
0.072
0.03
0.139
0.03
0.066
0.06
0.622
0.567
0.286
0.481
0.347
0.164
0.164
0.03
0.03
0.066
0.03
0.066
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
1.354
0.03
0.03
0.03
0.512
0.994
0.652
0.152
0.03
0.03
0.03
0.06
0.066
0.066
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.182
0.353
0.085
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.06
0.03
0.03
0.03
0.03
0.03
0.854
0.445
0.194
0.164
0.17
0.17
0.262
0.445
0.274
0.53
0.64
0.304
0.304
0.207
0.249
0.213
0.207
0.298
0.298
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.036
0.274
0.03
0.03
0.03
0.139
0.622
1.775
0.689
0.347
0.146
0.28
0.139
0.115
0.115
0.127
0.042
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.097
0.03
0.054
0.03
0.03
1.189
0.64
0.03
1.055
0.512
0.274
0.03
0.078
0.469
0.085
0.03
0.323
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.054
0.115
0.03
0.03
0.03
0.03
0.03
0.707
0.139
0.042
0.109
0.994
0.03
0.03
0.03
0.023
0.03
0.097
0.725
0.255
0.072
0.378
0.31
1.104
1.269
0.28
0.225
0.225
0.329
0.274
0.17
0.078
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.023
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
