DateTime	vib
2020/10/1	0.188
2020/10/1	2.227
2020/10/1	1.409
2020/10/1	0.42
2020/10/1	0.097
2020/10/1	0.805
2020/10/1	0.451
2020/10/1	0.109
2020/10/1	0.201
2020/10/1	0.243
2020/10/1	0.146
2020/10/1	0.103
2020/10/1	0.127
2020/10/1	0.829
2020/10/1	0.42
2020/10/1	0.249
2020/10/1	0.194
2020/10/1	0.713
2020/10/1	0.274
2020/10/1	0.42
2020/10/1	0.231
2020/10/1	0.262
2020/10/1	0.194
2020/10/1	0.152
2020/10/1	0.127
2020/10/1	0.158
2020/10/1	0.616
2020/10/1	0.115
2020/10/1	0.158
2020/10/1	0.182
2020/10/1	0.115
2020/10/1	0.115
2020/10/1	0.115
2020/10/1	0.121
2020/10/1	0.139
2020/10/1	0.127
2020/10/1	0.152
2020/10/1	0.139
2020/10/1	0.152
2020/10/1	0.146
2020/10/1	0.121
2020/10/1	0.152
2020/10/1	0.152
2020/10/1	0.139
2020/10/1	0.139
2020/10/1	0.176
2020/10/1	0.146
2020/10/1	0.152
2020/10/1	0.139
2020/10/1	0.17
2020/10/1	0.158
2020/10/1	0.201
2020/10/1	0.17
2020/10/1	0.219
2020/10/1	0.182
2020/10/1	0.194
2020/10/1	0.42
2020/10/1	0.42
2020/10/1	0.201
2020/10/1	0.164
2020/10/1	0.176
2020/10/1	0.219
2020/10/1	0.359
2020/10/1	0.347
2020/10/1	0.384
2020/10/1	0.237
2020/10/1	0.347
2020/10/1	0.347
2020/10/1	0.072
2020/10/1	0.072
2020/10/1	0.097
2020/10/1	0.115
2020/10/1	0.872
2020/10/1	0.469
2020/10/1	0.316
2020/10/1	0.207
2020/10/1	0.249
2020/10/1	0.249
2020/10/1	0.066
2020/10/1	0.207
2020/10/1	0.066
2020/10/1	1.354
2020/10/1	0.585
2020/10/1	0.591
2020/10/1	0.591
2020/10/1	0.164
2020/10/1	0.078
2020/10/1	0.152
2020/10/1	0.335
2020/10/1	2.52
2020/10/1	0.176
2020/10/1	0.078
2020/10/1	0.323
2020/10/1	0.542
2020/10/1	0.848
2020/10/1	0.536
2020/10/1	0.274
2020/10/1	0.213
2020/10/1	0.201
2020/10/1	0.298
2020/10/1	0.298
2020/10/1	0.164
2020/10/1	0.176
2020/10/1	0.213
2020/10/1	0.219
2020/10/1	0.188
2020/10/1	0.164
2020/10/1	0.176
2020/10/1	0.207
2020/10/1	0.188
2020/10/1	0.182
2020/10/1	0.225
2020/10/1	0.213
2020/10/1	0.213
2020/10/1	0.341
2020/10/1	0.194
2020/10/1	1.122
2020/10/1	0.097
2020/10/1	0.982
2020/10/1	0.671
2020/10/1	0.671
2020/10/1	0.268
2020/10/1	0.097
2020/10/1	0.286
2020/10/1	0.103
2020/10/1	0.194
2020/10/1	0.548
2020/10/1	0.121
2020/10/1	0.085
2020/10/1	0.371
2020/10/1	0.445
2020/10/1	0.591
2020/10/1	0.439
2020/10/1	0.439
2020/10/1	0.439
2020/10/1	1.629
2020/10/1	1.867
2020/10/1	0.89
2020/10/1	0.347
2020/10/1	0.347
2020/10/1	0.408
2020/10/1	0.268
2020/10/1	0.249
2020/10/1	1.128
2020/10/1	0.432
2020/10/1	0.548
2020/10/1	0.091
2020/10/1	0.152
2020/10/1	0.133
2020/10/1	0.719
2020/10/1	0.756
2020/10/1	0.561
2020/10/1	0.201
2020/10/1	0.091
2020/10/1	0.127
2020/10/1	0.811
2020/10/1	0.811
2020/10/1	1.867
2020/10/1	0.164
2020/10/1	0.182
2020/10/1	0.182
2020/10/1	0.097
2020/10/1	0.091
2020/10/1	0.078
2020/10/1	0.396
2020/10/1	0.292
2020/10/1	0.097
2020/10/1	0.262
2020/10/1	0.976
2020/10/1	0.5
2020/10/1	0.164
2020/10/1	0.158
2020/10/1	0.335
2020/10/1	0.091
2020/10/1	0.085
2020/10/1	0.085
2020/10/1	0.445
2020/10/1	0.188
2020/10/1	0.182
