DateTime	vib
2020/10/6 05:01:14	1.256
2020/10/6 05:01:15	1.781
2020/10/6 05:01:16	0.725
2020/10/6 05:01:17	0.646
2020/10/6 05:01:18	0.255
2020/10/6 05:01:19	0.06
2020/10/6 05:01:20	0.03
2020/10/6 05:01:21	0.03
2020/10/6 05:01:22	0.03
2020/10/6 05:01:23	0.03
2020/10/6 05:01:24	0.03
2020/10/6 05:01:25	0.03
2020/10/6 05:01:26	0.03
2020/10/6 05:01:27	0.03
2020/10/6 05:01:28	0.03
2020/10/6 05:01:29	0.371
2020/10/6 05:02:43	1.983
2020/10/6 05:02:44	0.451
2020/10/6 05:02:45	0.402
2020/10/6 05:02:46	0.133
2020/10/6 05:02:47	0.03
2020/10/6 05:02:48	0.03
2020/10/6 05:02:49	0.89
2020/10/6 05:05:59	0.536
2020/10/6 05:06:00	0.262
2020/10/6 05:06:01	0.03
2020/10/6 05:06:02	0.03
2020/10/6 05:06:03	0.03
2020/10/6 05:06:04	0.03
2020/10/6 05:06:05	0.03
2020/10/6 05:06:06	0.03
2020/10/6 05:06:07	0.03
2020/10/6 05:06:08	0.03
2020/10/6 05:06:09	0.03
2020/10/6 05:06:10	0.03
2020/10/6 05:06:11	0.03
2020/10/6 05:06:12	0.03
2020/10/6 05:06:13	0.03
2020/10/6 05:06:14	0.03
2020/10/6 05:06:15	0.03
2020/10/6 05:06:16	0.03
2020/10/6 05:06:17	0.03
2020/10/6 05:06:18	0.03
2020/10/6 05:06:19	0.03
2020/10/6 05:06:20	0.03
2020/10/6 05:06:21	0.03
2020/10/6 05:06:22	0.03
2020/10/6 05:06:23	0.03
2020/10/6 05:06:24	0.03
2020/10/6 05:06:25	0.03
2020/10/6 05:06:26	0.03
2020/10/6 05:06:27	0.03
2020/10/6 05:06:32	0.03
2020/10/6 05:06:33	0.03
2020/10/6 05:06:34	0.03
2020/10/6 05:06:35	0.03
2020/10/6 05:06:36	0.03
2020/10/6 05:06:37	0.03
2020/10/6 05:06:38	0.03
2020/10/6 05:06:39	0.03
2020/10/6 05:06:40	0.03
2020/10/6 05:06:41	0.03
2020/10/6 05:06:42	0.03
2020/10/6 05:06:43	0.03
2020/10/6 05:06:44	0.03
2020/10/6 05:06:45	0.03
2020/10/6 05:06:46	0.03
2020/10/6 05:06:47	0.03
2020/10/6 05:06:48	0.03
2020/10/6 05:06:49	0.03
2020/10/6 05:06:50	0.03
2020/10/6 05:06:51	0.03
2020/10/6 05:06:52	0.03
2020/10/6 05:06:53	0.03
2020/10/6 05:06:54	0.03
2020/10/6 05:06:55	0.03
2020/10/6 05:06:56	0.03
2020/10/6 05:06:57	0.03
2020/10/6 05:06:58	0.03
2020/10/6 05:06:58	0.03
2020/10/6 05:06:59	0.023
2020/10/6 05:07:04	0.03
2020/10/6 05:07:05	0.03
2020/10/6 05:07:06	0.03
2020/10/6 05:07:07	0.03
2020/10/6 05:07:08	0.03
2020/10/6 05:07:09	0.03
2020/10/6 05:07:10	0.03
2020/10/6 05:07:11	0.03
2020/10/6 05:07:12	0.03
2020/10/6 05:07:13	0.03
2020/10/6 05:07:14	0.03
2020/10/6 05:07:15	0.03
2020/10/6 05:07:16	0.03
2020/10/6 05:07:17	0.03
2020/10/6 05:07:18	0.03
2020/10/6 05:07:19	0.03
2020/10/6 05:07:20	0.03
2020/10/6 05:07:21	0.03
2020/10/6 05:07:22	0.03
2020/10/6 05:07:23	0.03
2020/10/6 05:07:24	0.03
2020/10/6 05:07:25	0.03
2020/10/6 05:07:26	0.03
2020/10/6 05:07:27	0.03
2020/10/6 05:07:28	0.03
2020/10/6 05:07:28	0.03
2020/10/6 05:07:29	0.03
2020/10/6 05:07:30	0.03
2020/10/6 05:07:31	0.03
2020/10/6 05:07:32	0.03
2020/10/6 05:07:33	0.03
2020/10/6 05:09:16	0.182
2020/10/6 05:09:17	0.799
2020/10/6 05:09:18	0.432
2020/10/6 05:09:19	0.249
2020/10/6 05:09:20	0.231
2020/10/6 05:09:21	0.286
2020/10/6 05:09:22	0.31
2020/10/6 05:09:23	0.292
2020/10/6 05:09:24	0.219
2020/10/6 05:09:25	0.219
2020/10/6 05:09:26	0.182
2020/10/6 05:09:26	0.146
2020/10/6 05:09:27	0.188
2020/10/6 05:09:28	0.127
2020/10/6 05:09:29	0.103
2020/10/6 05:09:30	0.182
2020/10/6 05:09:31	0.274
2020/10/6 05:09:32	0.152
2020/10/6 05:09:33	0.182
2020/10/6 05:09:34	0.158
2020/10/6 05:09:35	0.133
2020/10/6 05:09:36	0.139
2020/10/6 05:09:37	0.139
2020/10/6 05:09:38	0.146
2020/10/6 05:09:39	0.133
2020/10/6 05:09:40	0.097
2020/10/6 05:09:41	0.139
2020/10/6 05:09:42	0.103
2020/10/6 05:09:43	0.103
2020/10/6 05:09:44	0.152
2020/10/6 05:09:45	0.103
2020/10/6 05:09:46	0.103
2020/10/6 05:09:47	0.091
2020/10/6 05:09:48	0.127
2020/10/6 05:09:49	0.091
2020/10/6 05:09:50	0.152
2020/10/6 05:09:51	0.152
2020/10/6 05:09:52	0.109
2020/10/6 05:09:53	0.182
2020/10/6 05:09:54	0.139
2020/10/6 05:09:55	0.133
2020/10/6 05:09:55	0.139
2020/10/6 05:09:56	0.103
2020/10/6 05:09:57	0.091
2020/10/6 05:09:58	0.133
2020/10/6 05:09:59	0.121
2020/10/6 05:10:00	0.109
2020/10/6 05:10:01	0.121
2020/10/6 05:10:02	0.146
2020/10/6 05:10:03	0.146
2020/10/6 05:10:04	0.201
2020/10/6 05:10:05	0.115
2020/10/6 05:10:06	0.097
2020/10/6 05:10:07	0.121
2020/10/6 05:10:08	0.097
2020/10/6 05:10:09	0.121
2020/10/6 05:10:10	0.146
2020/10/6 05:10:11	0.127
2020/10/6 05:10:12	0.127
2020/10/6 05:10:13	0.176
2020/10/6 05:10:14	0.121
2020/10/6 05:10:15	0.133
2020/10/6 05:10:16	0.133
2020/10/6 05:10:17	0.115
2020/10/6 05:10:18	0.127
2020/10/6 05:10:19	0.127
2020/10/6 05:10:20	0.152
2020/10/6 05:10:21	0.139
2020/10/6 05:10:22	0.109
2020/10/6 05:10:23	0.127
2020/10/6 05:10:24	0.133
2020/10/6 05:10:25	0.109
2020/10/6 05:10:25	0.152
2020/10/6 05:10:26	0.127
2020/10/6 05:10:27	0.133
2020/10/6 05:10:28	0.152
2020/10/6 05:10:29	0.152
2020/10/6 05:10:30	0.121
2020/10/6 05:10:31	0.127
2020/10/6 05:10:32	0.115
2020/10/6 05:10:33	0.194
2020/10/6 05:10:34	0.152
2020/10/6 05:10:35	0.127
2020/10/6 05:10:36	0.127
2020/10/6 05:10:37	0.109
2020/10/6 05:10:38	0.133
2020/10/6 05:10:39	1.507
2020/10/6 05:13:22	5.834
2020/10/6 05:13:22	1.635
2020/10/6 05:13:23	0.854
2020/10/6 05:13:24	0.469
2020/10/6 05:13:25	0.158
2020/10/6 05:13:26	0.432
2020/10/6 05:13:27	0.341
2020/10/6 05:13:28	0.03
2020/10/6 05:13:29	0.03
2020/10/6 05:13:30	0.03
2020/10/6 05:13:31	0.03
2020/10/6 05:13:32	0.03
2020/10/6 05:13:33	0.03
2020/10/6 05:13:34	0.03
2020/10/6 05:13:35	0.03
2020/10/6 05:13:36	0.03
2020/10/6 05:13:37	0.139
2020/10/6 05:13:38	0.03
2020/10/6 05:13:39	0.03
2020/10/6 05:13:40	0.03
2020/10/6 05:13:41	0.03
2020/10/6 05:13:42	0.03
2020/10/6 05:13:43	0.023
2020/10/6 05:13:44	0.023
2020/10/6 05:13:45	0.03
2020/10/6 05:13:51	0.03
2020/10/6 05:13:51	0.03
2020/10/6 05:13:52	0.03
2020/10/6 05:13:53	0.03
2020/10/6 05:13:54	0.03
2020/10/6 05:13:55	0.03
2020/10/6 05:13:56	0.03
2020/10/6 05:13:57	0.03
2020/10/6 05:13:58	0.03
2020/10/6 05:13:59	0.03
2020/10/6 05:14:00	0.03
2020/10/6 05:14:01	0.03
2020/10/6 05:14:02	0.03
2020/10/6 05:14:03	0.03
2020/10/6 05:14:04	0.03
2020/10/6 05:14:05	0.03
2020/10/6 05:14:06	0.03
2020/10/6 05:15:11	0.03
2020/10/6 05:15:12	0.03
2020/10/6 05:15:13	0.03
2020/10/6 05:15:14	0.03
2020/10/6 05:15:15	0.03
2020/10/6 05:15:16	0.03
2020/10/6 05:15:17	0.03
2020/10/6 05:15:18	0.03
2020/10/6 05:15:19	0.03
2020/10/6 05:15:29	0.03
2020/10/6 05:15:30	0.03
2020/10/6 05:15:31	0.03
2020/10/6 05:15:31	0.03
2020/10/6 05:15:32	0.03
2020/10/6 05:15:33	0.03
2020/10/6 05:15:34	0.03
2020/10/6 05:15:35	0.03
2020/10/6 05:15:36	0.03
2020/10/6 05:15:37	0.03
2020/10/6 05:15:38	0.03
2020/10/6 05:15:39	0.03
2020/10/6 05:15:40	0.03
2020/10/6 05:15:41	0.03
2020/10/6 05:15:42	0.03
2020/10/6 05:15:43	0.03
2020/10/6 05:15:44	0.03
2020/10/6 05:15:45	0.03
2020/10/6 05:15:46	0.03
2020/10/6 05:15:47	0.03
2020/10/6 05:15:48	0.03
2020/10/6 05:15:49	0.03
2020/10/6 05:15:50	0.03
2020/10/6 05:15:51	0.03
2020/10/6 05:15:52	0.03
2020/10/6 05:15:53	0.03
2020/10/6 05:15:54	0.03
2020/10/6 05:16:00	0.03
2020/10/6 05:16:01	0.03
2020/10/6 05:16:02	0.03
2020/10/6 05:16:03	0.03
2020/10/6 05:16:04	0.03
2020/10/6 05:16:05	0.03
2020/10/6 05:16:06	0.823
2020/10/6 05:20:53	0.03
2020/10/6 05:20:54	0.03
2020/10/6 05:20:55	0.03
2020/10/6 05:20:56	0.03
2020/10/6 05:20:56	0.03
2020/10/6 05:20:57	0.03
2020/10/6 05:20:58	0.03
2020/10/6 05:20:59	0.03
2020/10/6 05:21:00	0.03
2020/10/6 05:21:01	0.03
2020/10/6 05:21:02	0.03
2020/10/6 05:21:03	0.03
2020/10/6 05:21:04	0.03
2020/10/6 05:21:05	0.03
2020/10/6 05:21:06	0.03
2020/10/6 05:21:07	0.03
2020/10/6 05:21:08	0.03
