DateTime,vib
2020/10/6 07:00:00,0.53
2020/10/6 07:00:01,0.298
2020/10/6 07:00:02,0.799
2020/10/6 07:00:03,0.103
2020/10/6 07:00:04,0.127
2020/10/6 07:00:05,0.127
2020/10/6 07:00:06,0.402
2020/10/6 07:00:07,0.03
2020/10/6 07:00:08,1.641
2020/10/6 07:01:36,0.072
2020/10/6 07:01:37,0.152
2020/10/6 07:01:38,0.03
2020/10/6 07:01:39,0.03
2020/10/6 07:01:40,0.03
2020/10/6 07:01:41,0.03
2020/10/6 07:01:42,0.03
2020/10/6 07:01:43,0.03
2020/10/6 07:01:44,0.023
2020/10/6 07:01:45,0.078
2020/10/6 07:01:46,0.03
2020/10/6 07:01:47,0.03
2020/10/6 07:01:48,0.03
2020/10/6 07:01:49,0.03
2020/10/6 07:01:50,0.03
2020/10/6 07:01:51,0.03
2020/10/6 07:01:52,0.03
2020/10/6 07:01:53,0.03
2020/10/6 07:01:54,0.03
2020/10/6 07:01:55,0.03
2020/10/6 07:01:56,0.03
2020/10/6 07:01:56,0.054
2020/10/6 07:01:57,0.03
2020/10/6 07:01:58,0.152
2020/10/6 07:01:59,0.03
2020/10/6 07:02:09,1.635
2020/10/6 07:07:25,0.811
2020/10/6 07:07:26,0.518
2020/10/6 07:07:27,0.115
2020/10/6 07:07:28,0.31
2020/10/6 07:07:29,0.103
2020/10/6 07:07:30,0.304
2020/10/6 07:07:31,0.469
2020/10/6 07:07:32,0.677
2020/10/6 07:07:33,1.141
2020/10/6 07:07:34,0.109
2020/10/6 07:07:35,0.286
2020/10/6 07:07:36,0.286
2020/10/6 07:07:37,0.286
2020/10/6 07:07:38,0.286
2020/10/6 07:07:39,0.286
2020/10/6 07:07:40,0.286
2020/10/6 07:07:41,0.286
2020/10/6 07:07:42,0.286
2020/10/6 07:07:43,0.286
2020/10/6 07:07:44,0.286
2020/10/6 07:07:45,0.286
2020/10/6 07:07:46,0.286
2020/10/6 07:07:47,0.286
2020/10/6 07:07:48,0.286
2020/10/6 07:07:48,0.286
2020/10/6 07:07:49,0.286
2020/10/6 07:07:50,0.286
2020/10/6 07:07:51,0.286
2020/10/6 07:07:52,0.286
2020/10/6 07:07:53,0.286
2020/10/6 07:07:54,0.286
2020/10/6 07:07:55,0.286
2020/10/6 07:07:56,0.286
2020/10/6 07:07:57,0.286
2020/10/6 07:07:58,0.286
2020/10/6 07:07:59,0.286
2020/10/6 07:08:00,0.286
2020/10/6 07:08:01,0.286
2020/10/6 07:08:02,0.286
2020/10/6 07:08:03,0.286
2020/10/6 07:08:04,0.286
2020/10/6 07:08:05,0.286
2020/10/6 07:08:06,0.286
2020/10/6 07:08:07,0.286
2020/10/6 07:08:08,0.286
2020/10/6 07:08:09,0.286
2020/10/6 07:08:10,0.286
2020/10/6 07:08:11,0.286
2020/10/6 07:08:12,0.286
2020/10/6 07:08:13,0.286
2020/10/6 07:08:14,0.286
2020/10/6 07:08:15,0.286
2020/10/6 07:08:16,0.286
2020/10/6 07:08:17,0.286
2020/10/6 07:08:17,0.286
2020/10/6 07:08:18,0.286
2020/10/6 07:08:19,0.286
2020/10/6 07:08:20,0.286
2020/10/6 07:08:21,0.286
2020/10/6 07:08:22,0.286
2020/10/6 07:08:23,0.286
2020/10/6 07:08:24,0.286
2020/10/6 07:08:25,0.286
2020/10/6 07:08:26,0.286
2020/10/6 07:08:27,0.286
